company,owner,phone,website,email,location,source
Baci Fashion Boutique,,+12127751100,http://bacifashion.com,,"New York, NY",yellowpages
Crave Boutique,,+12127946000,http://craveboutique4333877.localsearch.com,,"New York, NY",yellowpages
Mystique Boutique,,+12122740645,http://mystiqueboutiquenyc.com,,"New York, NY",yellowpages
Monaco Couture,,+16465590660,http://monacocouture.com,,"New York, NY",yellowpages
Unique Boutique By Vee,,+13479153516,http://uniqueboutiquebyvee.localsearch.com,,"New York, NY",yellowpages
Zoila's Sample Room,,+12125640108,http://zoilassampleroom.localsearch.com,,"New York, NY",yellowpages
Komune,,+19173645787,https://komune.space,,"New York, NY",yellowpages
Eileen Fisher Boutique,,+12125295715,http://www.eileenfisher.com,,"New York, NY",yellowpages
Dolce & Gabbana USA Inc,,+12127500055,http://www.dolcegabbana.it,,"New York, NY",yellowpages
Breguet Boutique 5th,,+16466926469,https://www.breguet.com/en,,"New York, NY",yellowpages
"Hermes of Paris, Inc",,+12127597585,https://www.hermes.com,,"New York, NY",yellowpages
Henri Bendel Inc,,+12122471100,http://henribendel.com,,"New York, NY",yellowpages
Yves Salomon,,+12129888145,https://www.yves-salomon.com/pages/store-locator,,"New York, NY",yellowpages
JL & Company Limited,,+12128889797,https://www.johnlobb.com,,"New York, NY",yellowpages
