company,owner,phone,website,email,location,source
Fair Trade Boutique,,+15618268226,http://fairtradeboutique.localsearch.com,,"Boca Raton, FL",yellowpages
Jilly Beans Closet,,+15617568497,http://jillybeanscloset478430272.localsearch.com,,"Boca Raton, FL",yellowpages
A La Mode,,+15613620350,http://alamodefl.localsearch.com,,"Boca Raton, FL",yellowpages
Giorgio Armani,,+15614175151,https://locations.armani.com/giorgio-armani/united-states/giorgio-armani-donna-boca-raton-neiman-marcus,,"Boca Raton, FL",yellowpages
Jobella Girls Boutique,,+15616175334,http://jobellagirlsboutique.localsearch.com,,"Boca Raton, FL",yellowpages
Shu Sha Boutique,,+15613678689,http://myshusha.com,,"Boca Raton, FL",yellowpages
Antoinette Boutique,,+15613682352,http://yellowpages.com/boca-raton-fl/mip/vicki-soble-7180735,,"Boca Raton, FL",yellowpages
Cocoblue Boutique,,+15613677177,https://sites.google.com/site/cocoblueboutique,,"Boca Raton, FL",yellowpages
Vitamin Y Boutique,,+15614093723,http://vitaminyboutique.localsearch.com,,"Boca Raton, FL",yellowpages
Jasmin Boutique,,+15612358270,http://jasminboutique.localsearch.com,,"Boca Raton, FL",yellowpages
Fancydressme Inc,,+15614652325,http://fancydressmeinc.localsearch.com,,"Boca Raton, FL",yellowpages
The Lola Boutique,,+15617568466,http://thelolaboutique.com,,"Boca Raton, FL",yellowpages
