company,owner,phone,website,email,location,source
Goolrukh Vakil,,+16505210227,,,"Palo Alto, CA",yellowpages
Premier Boutique,,+16503266544,,,"Palo Alto, CA",yellowpages
Essentique,,+16508471469,,,"Palo Alto, CA",yellowpages
Cassis,,+16503272997,,,"Palo Alto, CA",yellowpages
Leaf & Petal,,+16503298070,,,"Palo Alto, CA",yellowpages
Touleh Pet Boutique,,+16508471720,,,"Palo Alto, CA",yellowpages
Cielo,,+16503298833,,,"Palo Alto, CA",yellowpages
Aritzia,,+16506836073,,,"Palo Alto, CA",yellowpages
Brunello Cucinelli,,+16506136100,,,"Palo Alto, CA",yellowpages
Crate & Barrel,,+16503217800,,,"Palo Alto, CA",yellowpages
Stanford Shopping Center,,+16506178202,,,"Palo Alto, CA",yellowpages
Lush Cosmetics Stanford Shopping Center - CLOSED,,+16503212479,,,"Palo Alto, CA",yellowpages
Hudson Grace,,+16503287400,,,"Palo Alto, CA",yellowpages
Sephora,,+16503275180,,,"Palo Alto, CA",yellowpages
United Nations Association Gift Shop,,+16503263170,,,"Palo Alto, CA",yellowpages
Weekend Max Mara,,+16503231740,,,"Palo Alto, CA",yellowpages
Safeway,,+16503218400,,,"Palo Alto, CA",yellowpages
Nordstrom Rack East Palo Alto,,+16507982022,,,"Palo Alto, CA",yellowpages
Bloomingdale's,,+16504632000,,,"Palo Alto, CA",yellowpages
Hermes,,+16503212466,,,"Palo Alto, CA",yellowpages
Wilkes Bashford,,+16503227080,,,"Palo Alto, CA",yellowpages
Louis Vuitton Palo Alto,,+16503282801,,,"Palo Alto, CA",yellowpages
Nordstrom,,+16503235111,,,"Palo Alto, CA",yellowpages
"Alexander Daas Retail V, Inc",,+16503269111,,,"Palo Alto, CA",yellowpages
Creamery Stanford Shopping Center,,+16503277032,,,"Palo Alto, CA",yellowpages
Livegreene,,+16503310700,,,"Palo Alto, CA",yellowpages
Target,,+16503252018,,,"Palo Alto, CA",yellowpages
Napa Valley Scents,,+16508882480,,,"Palo Alto, CA",yellowpages
Tere's Boutique,,+16503640239,,,"Palo Alto, CA",yellowpages
Maribel's Boutique,,+16505569605,,,"Palo Alto, CA",yellowpages
Raquel's Boutique,,+16508143373,,,"Palo Alto, CA",yellowpages
Menlo Park Inn,,+16503267530,,,"Palo Alto, CA",yellowpages
Walmart Wireless Services,,+16509170796,,,"Palo Alto, CA",yellowpages
Ameribanker Luxury Real Estate,,+16505204547,,,"Palo Alto, CA",yellowpages
Meineke Car Care Center,,+16503819814,,,"Palo Alto, CA",yellowpages
Sears,,+16509176000,,,"Palo Alto, CA",yellowpages
Santa Cruz Plaza,,+16503238335,,,"Palo Alto, CA",yellowpages
Village Mail Center Plus,,+16509490960,,,"Palo Alto, CA",yellowpages
Los Altos Rancho Shopping Center L P A California Limited Partnership,,+16502093232,,,"Palo Alto, CA",yellowpages
Union Square Marketplace,,+16509381888,,,"Palo Alto, CA",yellowpages
Matisse Software Inc,,+16502913318,,,"Palo Alto, CA",yellowpages
99 Cents Store,,+16503641860,,,"Palo Alto, CA",yellowpages
Kohl's,,+16509171026,,,"Palo Alto, CA",yellowpages
Applied Physics Sys Inc,,+16509654161,,,"Palo Alto, CA",yellowpages
Apricot Lane,,+16502095961,,,"Palo Alto, CA",yellowpages
B Chic Fashions,,+16505989331,,,"Palo Alto, CA",yellowpages
Makery Los Altos,,+16503975613,,,"Palo Alto, CA",yellowpages
Fina Boutique,,+16509483462,,,"Palo Alto, CA",yellowpages
Look,,+16502833537,,,"Palo Alto, CA",yellowpages
Oz Boutique,,+16509411414,,,"Palo Alto, CA",yellowpages
